"Latest: Time (s)","Latest: Illumination (lux)"
3.718,78.6143493652
3.72,166.146392822
3.722,128.020019531
3.724,133.45993042
3.726,124.82421875
3.728,111.67678833
3.73,115.424804688
3.732,116.928710938
3.734,129.711914062
3.736,135.903778076
3.738,140.97946167
3.74,139.663543701
3.742,137.407684326
3.744,130.828094482
3.746,118.80859375
3.748,125.952148438
3.75,128.395996094
3.752,197.328948975
3.754,95.5215454102
3.756,219.687805176
3.758,173.853912354
3.76,142.48336792
3.762,178.177642822
3.764,137.407684326
3.766,146.795349121
3.768,148.299255371
3.77,164.26651001
3.772,164.642486572
3.774,174.417877197
3.776,176.109771729
3.778,162.574615479
3.78,166.898345947
3.782,149.239196777
3.784,159.766540527
3.786,160.706481934
3.788,172.725982666
3.79,173.477935791
3.792,210.488128662
3.794,209.924163818
3.796,145.679168701
3.798,214.800109863
3.8,150.555114746
3.802,192.828979492
3.804,181.737670898
3.806,184.745483398
3.808,201.652679443
3.81,201.0887146
3.812,195.0730896
3.814,194.885101318
3.816,190.009155273
3.818,183.241577148
3.82,196.013031006
3.822,195.825042725
3.824,199.58480835
3.826,205.224456787
3.828,201.652679443
3.83,232.835235596
3.832,157.322692871
3.834,238.474884033
3.836,214.800109863
3.838,196.013031006
3.84,229.075469971
3.842,210.300140381
3.844,215.552062988
3.846,212.920227051
3.848,222.131652832
3.85,215.176086426
3.852,213.672180176
3.854,222.131652832
3.856,206.352386475
3.858,221.003723145
3.86,216.116027832
3.862,221.75567627
3.864,222.507629395
3.866,224.387512207
3.868,223.823547363
3.87,230.579376221
3.872,212.168273926
3.874,213.860168457
3.876,234.339141846
3.878,192.077026367
3.88,237.158966064
3.882,232.647247314
3.884,231.331329346
3.886,232.459259033
3.888,226.079406738
3.89,232.835235596
3.892,221.567687988
3.894,226.631622314
3.896,236.595001221
3.898,239.226837158
3.9,228.887481689
3.902,232.647247314
3.904,238.850860596
3.906,229.075469971
3.908,231.143341064
3.91,235.279083252
3.912,219.123840332
3.914,238.286895752
3.916,231.519317627
3.918,232.271270752
3.92,237.910919189
3.922,237.346954346
3.924,233.775177002
3.926,236.782989502
3.928,235.843048096
3.93,236.970977783
3.932,230.203399658
3.934,230.579376221
3.936,229.451446533
3.938,235.843048096
3.94,237.722930908
3.942,233.211212158
3.944,238.662872314
3.946,237.534942627
3.948,191.137084961
3.95,230.579376221
3.952,227.383575439
3.954,187.753295898
3.956,241.670684814
3.958,227.383575439
3.96,236.031036377
3.962,236.782989502
3.964,231.519317627
3.966,229.827423096
3.968,221.003723145
3.97,214.800109863
3.972,222.883605957
3.974,236.407012939
3.976,234.151153564
3.978,236.219024658
3.98,232.835235596
3.982,219.875793457
3.984,213.860168457
3.986,212.544250488
3.988,212.920227051
3.99,162.950592041
3.992,239.414825439
3.994,207.856292725
3.996,225.139465332
3.998,222.131652832
4,215.74005127
4.002,209.172210693
4.004,196.013031006
4.006,201.0887146
4.008,199.208831787
4.01,215.176086426
4.012,222.883605957
4.014,219.123840332
4.016,210.664367676
4.018,194.697113037
4.02,193.768920898
4.022,183.805541992
4.024,201.0887146
4.026,160.14251709
4.028,226.819610596
4.03,199.020843506
4.032,161.834411621
4.034,213.296203613
4.036,156.194763184
4.038,177.049713135
4.04,181.173706055
4.042,192.640991211
4.044,193.392944336
4.046,205.036468506
4.048,200.336761475
4.05,183.241577148
4.052,183.053588867
4.054,158.450622559
4.056,165.77041626
4.058,166.334381104
4.06,181.173706055
4.062,196.764984131
4.064,191.325073242
4.066,188.505249023
4.068,87.8140258789
4.07,205.60043335
4.072,102.465362549
4.074,149.61517334
4.076,151.871032715
4.078,161.458435059
4.08,181.173706055
4.082,163.326568604
4.084,164.078521729
4.086,138.911590576
4.088,134.775848389
4.09,131.95602417
4.092,133.647918701
4.094,145.115203857
4.096,156.194763184
4.098,165.018463135
4.1,154.502868652
4.102,152.62298584
4.104,78.0503845215
4.106,165.018463135
4.108,69.9668884277
4.11,95.3335571289
4.112,151.683044434
4.114,112.052764893
4.116,151.495056152
4.118,133.835906982
4.12,131.016082764
4.122,103.405303955
4.124,112.428741455
4.126,102.465362549
4.128,107.541046143
4.13,131.204071045
4.132,118.996582031
4.134,139.47555542
4.136,120.876464844
4.138,113.744659424
4.14,102.089385986
4.142,100.021514893
4.144,89.8818969727
4.146,58.6993408203
4.148,155.254821777
4.15,75.9825134277
4.152,118.996582031
4.154,94.7695922852
4.156,96.6494750977
4.158,86.3101196289
4.16,76.3584899902
